Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,97649,21233482.103,12429,2702648.763
2298,16.1495,0,0.0,0,0.0
2235,73.9095,26,1921.647,153,11308.153499999999
562,151.883,14057,2135019.3310000002,5358,813789.1140000001
2322,74.3347,27,2007.0369,22,1635.3634
533,77.6496,1593,123695.81280000001,3756,291651.8976
655,136.191,85,11576.235,343,46713.513
414,208.958,63854,13342804.132,39127,8175899.666
253,149.505,113687,16996774.935,15960,2386099.8
853,129.616,66,8554.656,185,23978.960000000003
907,262.418,9301,2440749.818,5284,1386616.712
1114,12.9007,778,10036.7446,63,812.7441
939,1055.11,144180,152125759.79999998,78036,82336563.96
2606,11.2554,33,371.4282,154,1733.3316
2837,150.956,130292,19668359.152,20835,3145168.26
1793,150.359,20,3007.1800000000003,166,24959.594
1046,85.9267,93278,8015070.7226,9298,798946.4565999999
554,46.3771,1748,81067.17079999999,913,42342.2923
1970,47.9169,6660,319126.554,725,34739.7525

weighted_avg,NA,NA,236519384.4589,NA,102225608.33359998
weighted_%,NA,NA,0.6982225257681703,NA,0.3017774742318296
weighted_total,338744992.7925
