Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,25436,5530981.892,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,3040,224684.87999999998,0,0.0
562,151.883,33254,5050717.282000001,0,0.0
2322,74.3347,1335,99236.8245,0,0.0
533,77.6496,67101,5210365.8096,0,0.0
655,136.191,10201,1389284.391,0,0.0
414,208.958,325145,67941648.91,20,4179.16
253,149.505,93264,13943434.32,0,0.0
853,129.616,6493,841596.6880000001,0,0.0
907,262.418,18952,4973345.936,0,0.0
1114,12.9007,764,9856.1348,0,0.0
939,1055.11,349938,369223083.17999995,42,44314.619999999995
2606,11.2554,5820,65506.428,0,0.0
2837,150.956,48497,7320913.131999999,0,0.0
1793,150.359,4799,721572.841,0,0.0
1046,85.9267,82727,7108458.1109,0,0.0
554,46.3771,8579,397869.1409,0,0.0
1970,47.9169,424628,20346857.4132,0,0.0

weighted_avg,NA,NA,510399413.3139,NA,48493.78
weighted_%,NA,NA,0.9999049975926514,NA,9.500240734864895e-05
weighted_total,510447907.09389997
