Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,6812,1481248.964
2298,16.1495,0,0.0
2235,73.9095,105,7760.4974999999995
562,151.883,2356,357836.348
2322,74.3347,17,1263.6898999999999
533,77.6496,2155,167334.888
655,136.191,326,44398.266
414,208.958,24784,5178815.072
253,149.505,10732,1604487.66
853,129.616,152,19701.632
907,262.418,1794,470777.892
1114,12.9007,3,38.7021
939,1055.11,46395,48951828.449999996
2606,11.2554,160,1800.864
2837,150.956,9017,1361170.2519999999
1793,150.359,150,22553.850000000002
1046,85.9267,6188,531714.4196
554,46.3771,264,12243.554399999999
1970,47.9169,134,6420.8646

weighted_avg,NA,NA,60221395.86609999
weighted_%,NA,NA,1.0
weighted_total,60221395.86609999
