Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,4897,1064837.959,333,72409.851
2298,16.1495,0,0.0,0,0.0
2235,73.9095,53,3917.2034999999996,49,3621.5654999999997
562,151.883,1613,244987.279,434,65917.22200000001
2322,74.3347,12,892.0164,4,297.3388
533,77.6496,1401,108787.0896,671,52102.88160000001
655,136.191,186,25331.526,130,17704.83
414,208.958,16099,3364014.842,6684,1396675.2719999999
253,149.505,7008,1047731.0399999999,382,57110.909999999996
853,129.616,84,10887.744,65,8425.04
907,262.418,1288,337994.384,276,72427.368
1114,12.9007,3,38.7021,0,0.0
939,1055.11,33160,34987447.599999994,9225,9733389.75
2606,11.2554,77,866.6658,80,900.432
2837,150.956,5195,784216.4199999999,278,41965.768
1793,150.359,52,7818.668000000001,94,14133.746000000001
1046,85.9267,3786,325318.4862,250,21481.675
554,46.3771,149,6910.1879,69,3200.0199
1970,47.9169,47,2252.0942999999997,0,0.0

weighted_avg,NA,NA,42324249.90779999,NA,11561763.669799998
weighted_%,NA,NA,0.7854403600824883,NA,0.21455963991751167
weighted_total,53886013.57759999
