Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2766,217.447,1891664,411336661.808,143067,31109489.949,208,45228.976,16,3479.152
2298,16.1495,1309424,21146542.888,0,0.0,0,0.0,0,0.0
2235,73.9095,1817573,134335911.6435,0,0.0,0,0.0,206,15225.356999999998
562,151.883,2060089,312892497.587,20802,3159470.166,2807,426335.581,1233,187271.739
2322,74.3347,1727144,128386731.0968,16,1189.3552,20,1486.694,32,2378.7104
533,77.6496,3198500,248362245.60000002,1876,145670.6496,1498,116319.10080000001,4675,363011.88
655,136.191,1348367,183635450.097,2,272.382,5,680.955,653,88932.723
414,208.958,2316209,483990400.222,111502,23299234.916,10669,2229372.902,12943,2704543.394
253,149.505,1733356,259145388.78,137650,20579363.25,22621,3381952.605,451,67426.755
853,129.616,3031733,392961104.52800006,2,259.232,1,129.616,336,43550.976
907,262.418,3170039,831875294.302,19199,5038163.182,909,238537.962,338,88697.284
1114,12.9007,567100,7315986.970000001,912,11765.438400000001,4,51.6028,8,103.2056
939,1055.11,2795548,2949610650.2799997,252203,266101907.32999998,13840,14602722.399999999,11468,12100001.479999999
2606,11.2554,1491727,16789984.0758,0,0.0,0,0.0,269,3027.7026
2837,150.956,1974260,298026392.56,186012,28079627.472,1094,165145.864,200,30191.199999999997
1793,150.359,2502500,376273397.5,0,0.0,1,150.359,1381,207645.779
1046,85.9267,1381257,118686855.8619,103175,8865487.272499999,23767,2042219.8789,814,69944.3338
554,46.3771,2161962,100265527.8702,2668,123734.1028,1051,48742.3321,591,27408.8661
1970,47.9169,1357295,65037368.7855,74,3545.8505999999998,58,2779.1802,20386,976833.9234

weighted_avg,NA,NA,7340074392.4557,NA,386519180.5481,NA,23301856.0088,NA,16979674.460899998
weighted_%,NA,NA,0.9450485935035925,NA,0.04976508253303069,NA,0.003000158454766313,NA,0.0021861655086105806
weighted_total,7766875103.473499
