Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1797870,390941437.89,2845,618636.715
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1695008,125277193.776,77,5691.031499999999
562,151.883,1461496,221976396.96800002,2263,343711.22900000005
2322,74.3347,1563021,116186697.1287,36,2676.0492
533,77.6496,2356852,183008615.05920002,1915,148698.98400000003
655,136.191,1250591,170319238.881,242,32958.222
414,208.958,1891701,395286057.55799997,13902,2904934.116
253,149.505,1604154,239829043.76999998,7483,1118745.915
853,129.616,2475251,320832133.61600006,125,16202.000000000002
907,262.418,2106021,552657818.778,2092,548978.456
1114,12.9007,471823,6086846.976100001,21,270.91470000000004
939,1055.11,2071950,2186135164.5,22265,23492024.15
2606,11.2554,1288132,14498440.9128,112,1260.6048
2837,150.956,1653207,249561515.892,5651,853052.3559999999
1793,150.359,1989020,299067058.18,133,19997.747
1046,85.9267,1299379,111651349.5193,8128,698412.2176
554,46.3771,1754257,81357352.31469999,467,21658.1057
1970,47.9169,977367,46832396.8023,4957,237524.0733

weighted_avg,NA,NA,5732434736.615101,NA,31065432.8868
weighted_%,NA,NA,0.9946099710292046,NA,0.005390028970795497
weighted_total,5763500169.501901
