Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100659,21887997.573,29765,6472309.955
2298,16.1495,0,0.0,0,0.0
2235,73.9095,53,3917.2034999999996,879,64966.45049999999
562,151.883,15459,2347959.2970000003,12879,1956101.1570000001
2322,74.3347,10,743.347,29,2155.7063
533,77.6496,2044,158715.78240000003,10409,808254.6864000001
655,136.191,64,8716.224,970,132105.27
414,208.958,71609,14963273.422,100565,21013861.27
253,149.505,112060,16753530.299999999,38139,5701971.194999999
853,129.616,101,13091.216000000002,1009,130782.54400000001
907,262.418,11158,2928060.044,14568,3822905.424
1114,12.9007,823,10617.276100000001,306,3947.6142
939,1055.11,162445,171397343.95,176768,186509684.48
2606,11.2554,34,382.6836,310,3489.174
2837,150.956,137223,20714635.187999997,64940,9803082.639999999
1793,150.359,65,9773.335000000001,1188,178626.492
1046,85.9267,88958,7643867.3785999995,21613,1857133.7670999998
554,46.3771,2005,92986.0855,3416,158424.1736
1970,47.9169,2714,130046.4666,2552,122283.9288

weighted_avg,NA,NA,259065656.7723,NA,238742085.92789996
weighted_%,NA,NA,0.5204130722577368,NA,0.4795869277422632
weighted_total,497807742.70019996
