Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
49,53.1722,104050771,5532608405.7662
1172,4605.89,94008544,432993012724.16003

weighted_avg,NA,NA,438525621129.9262
weighted_%,NA,NA,1.0
weighted_total,438525621129.9262
