Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
49,53.1722,3800835,202098758.787
1172,4605.89,3713120,17102222276.800001

weighted_avg,NA,NA,17304321035.587
weighted_%,NA,NA,1.0
weighted_total,17304321035.587
