Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1562682,339800512.85400003,339522,73828040.334
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1496184,110582211.34799999,326727,24148229.206499998
562,151.883,1165582,177032090.90600002,884648,134362992.18400002
2322,74.3347,1458873,108444886.7931,266195,19787525.4665
533,77.6496,1548512,120241337.39520001,1658260,128763225.69600001
655,136.191,1190986,162201574.326,162589,22143158.499
414,208.958,1366900,285624690.2,958308,200246123.064
253,149.505,1133086,169402022.43,576699,86219383.995
853,129.616,1805410,234010022.56000003,1245945,161494407.12
907,262.418,1413564,370944637.75200003,1759647,461763046.44600004
1114,12.9007,403265,5202400.7855,155453,2005452.5171
939,1055.11,1232885,1300829292.35,1554632,1640307769.5199997
2606,11.2554,1393497,15684366.1338,176253,1983798.0162
2837,150.956,1262821,190630406.876,712586,107569132.21599999
1793,150.359,1458549,219305969.09100002,1090910,164028136.69
1046,85.9267,1100393,94553139.19309999,270198,23217222.4866
554,46.3771,1366712,63384139.095199995,796927,36959163.1717
1970,47.9169,1331751,63813379.4919,31116,1490982.2604

weighted_avg,NA,NA,4052304920.1377997,NA,3290846491.22
weighted_%,NA,NA,0.551848204283248,NA,0.448151795716752
weighted_total,7343151411.3578
