Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,89893,19546963.171,7832,1703044.904
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,43,3178.1085
562,151.883,20831,3163874.773,3762,571383.846
2322,74.3347,1735,128970.70449999999,38,2824.7186
533,77.6496,1060,82308.576,1241,96363.1536
655,136.191,77,10486.707,44,5992.404
414,208.958,59724,12479807.592,16021,3347716.118
253,149.505,113318,16941607.59,9323,1393835.115
853,129.616,11,1425.776,75,9721.2
907,262.418,7371,1934283.078,3465,909278.37
1114,12.9007,6458,83312.7206,60,774.042
939,1055.11,145323,153331750.52999997,42900,45264218.99999999
2606,11.2554,2,22.5108,20,225.108
2837,150.956,122505,18492864.779999997,13682,2065379.9919999999
1793,150.359,1,150.359,49,7367.591
1046,85.9267,88768,7627541.3056,5974,513326.10579999996
554,46.3771,1416,65669.9736,595,27594.374499999998
1970,47.9169,1928,92383.78319999999,302,14470.9038

weighted_avg,NA,NA,233983497.83979997,NA,55936695.0548
weighted_%,NA,NA,0.8070617486270241,NA,0.1929382513729759
weighted_total,289920192.8946
