Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.345,4206.512215
2298,16.1495,15.482,250.026559
2235,73.9095,16.154,1193.934063
562,151.883,18.528,2814.088224
2322,74.3347,20.565,1528.6931055
533,77.6496,18.485,1435.352856
655,136.191,15.203,2070.511773
414,208.958,16.539,3455.9563620000004
253,149.505,18.196,2720.39298
853,129.616,19.125,2478.9060000000004
907,262.418,16.998,4460.581164
1114,12.9007,20.024,258.3236168
939,1055.11,16.523,17433.58253
2606,11.2554,21.922,246.7408788
2837,150.956,15.91,2401.7099599999997
1793,150.359,19.404,2917.566036
1046,85.9267,17.576,1510.2476792
554,46.3771,17.697,820.7355386999999
1970,47.9169,24.874,1191.8849705999999

weighted_avg,NA,NA,53395.746511599995
weighted_%,NA,NA,1.0
weighted_total,53395.746511599995
