Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150318,32686198.146,6495,1412318.2650000001,4568979,993510776.613
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616545,45568532.677499995,43637,3225188.8515,3265935,241383622.8825
562,151.883,123085,18694519.055,1154,175272.98200000002,3476057,527953965.33100003
2322,74.3347,86874,6457752.7277999995,16,1189.3552,3304537,245641766.5339
533,77.6496,702573,54554512.42080001,7732,600386.7072000001,3639405,282598342.48800004
655,136.191,240362,32735141.142,3809,518751.51900000003,4774638,650262723.858
414,208.958,291419,60894331.402,6485,1355092.63,3913737,817806656.046
253,149.505,692292,103501115.46,9086,1358402.43,2962187,442861767.435
853,129.616,640262,82988199.392,1521,197145.93600000002,2794636,362229539.776
907,262.418,95678,25107629.404,909,238537.962,4141761,1086872638.098
1114,12.9007,642283,8285900.2981,1945,25091.861500000003,6081787,78459309.5509
939,1055.11,168795,178097292.45,6872,7250715.919999999,3782125,3990557908.7499995
2606,11.2554,5189952,58414985.7408,17600,198095.04,3229893,36353737.6722
2837,150.956,243091,36696044.996,6241,942116.396,4413214,666201132.584
1793,150.359,954914,143579914.12600002,75854,11405331.586000001,3088202,464338964.518
1046,85.9267,724669,62268415.7623,8688,746531.1696,3180672,273304648.7424
554,46.3771,134462,6235957.6202,1771,82133.8441,3431869,159160131.7999
1970,47.9169,52151801,2498952633.3368998,3972,190325.9268,12329210,590777522.6489999

weighted_avg,NA,NA,3455770124.7269,NA,29926924.148900002,NA,11946009089.379797
weighted_%,NA,NA,0.22393960160762505,NA,0.0019393140253436002,NA,0.7741210843670314
weighted_total,15431706138.255596
