Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,30001,6523627.447
2298,16.1495,0,0.0
2235,73.9095,145,10716.877499999999
562,151.883,22754,3455945.782
2322,74.3347,2935,218172.3445
533,77.6496,5997,465664.6512
655,136.191,639,87026.049
414,208.958,68083,14226487.514
253,149.505,61259,9158526.795
853,129.616,192,24886.272000000004
907,262.418,12955,3399625.19
1114,12.9007,9927,128065.2489
939,1055.11,171301,180741398.10999998
2606,11.2554,158,1778.3532
2837,150.956,52792,7969269.152
1793,150.359,186,27966.774
1046,85.9267,35257,3029517.6618999997
554,46.3771,1144,53055.4024
1970,47.9169,2232,106950.5208

weighted_avg,NA,NA,229628680.14539996
weighted_%,NA,NA,1.0
weighted_total,229628680.14539996
