Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1798078,390986666.866,2682,583192.854
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694850,125265516.07499999,76,5617.121999999999
562,151.883,1462351,222106256.93300003,2234,339306.62200000003
2322,74.3347,1563019,116186548.4593,52,3865.4044
533,77.6496,2357978,183096048.50880003,1912,148466.0352
655,136.191,1250635,170325231.285,227,30915.357
414,208.958,1885714,394035026.012,15832,3308223.056
253,149.505,1605064,239965093.32,6488,969988.44
853,129.616,2475924,320919365.184,112,14516.992000000002
907,262.418,2106069,552670414.842,1735,455295.23000000004
1114,12.9007,471811,6086692.1677,21,270.91470000000004
939,1055.11,2064907,2178704024.77,26747,28221027.169999998
2606,11.2554,1288809,14506060.818599999,91,1024.2413999999999
2837,150.956,1654618,249774514.80799997,4364,658771.9839999999
1793,150.359,1989356,299117578.804,115,17291.285
1046,85.9267,1300106,111713818.2302,7154,614719.6118
554,46.3771,1754164,81353039.2444,438,20313.1698
1970,47.9169,977744,46850461.4736,3511,168236.2359

weighted_avg,NA,NA,5724592335.8946,NA,35561041.72519999
weighted_%,NA,NA,0.9938263724255387,NA,0.006173627574461301
weighted_total,5760153377.6198
