Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,29435,6400552.445,2909,632553.323
2298,16.1495,0,0.0,0,0.0
2235,73.9095,8,591.276,19,1404.2804999999998
562,151.883,6490,985720.67,1912,290400.29600000003
2322,74.3347,1439,106967.6333,26,1932.7022
533,77.6496,885,68719.89600000001,1848,143496.4608
655,136.191,81,11031.471,149,20292.459
414,208.958,21658,4525612.364,12081,2524421.5979999998
253,149.505,34242,5119350.21,4120,615960.6
853,129.616,37,4795.792,59,7647.344000000001
907,262.418,3284,861780.712,1817,476813.506
1114,12.9007,1984,25594.9888,55,709.5385
939,1055.11,42499,44841119.88999999,23246,24527087.06
2606,11.2554,40,450.216,19,213.8526
2837,150.956,31145,4701524.62,4965,749496.5399999999
1793,150.359,13,1954.6670000000001,60,9021.54
1046,85.9267,25751,2212698.4517,2471,212324.8757
554,46.3771,822,38121.9762,501,23234.9271
1970,47.9169,5000,239584.5,506,24245.951399999998

weighted_avg,NA,NA,70146171.77899998,NA,30261256.854799997
weighted_%,NA,NA,0.6986153587782129,NA,0.30138464122178704
weighted_total,100407428.63379999
