Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,4977,1082233.719,503,109375.841
2298,16.1495,0,0.0,0,0.0
2235,73.9095,47,3473.7464999999997,35,2586.8325
562,151.883,1672,253948.37600000002,548,83231.884
2322,74.3347,21,1561.0286999999998,13,966.3511
533,77.6496,1338,103895.16480000001,737,57227.75520000001
655,136.191,161,21926.751,99,13482.909
414,208.958,15568,3253058.144,7114,1486527.212
253,149.505,8134,1216073.67,749,111979.245
853,129.616,62,8036.192000000001,59,7647.344000000001
907,262.418,1311,344029.998,578,151677.604
1114,12.9007,10,129.007,2,25.8014
939,1055.11,39457,41631475.269999996,12878,13587706.579999998
2606,11.2554,79,889.1766,47,529.0038
2837,150.956,5169,780291.5639999999,504,76081.824
1793,150.359,44,6615.796,98,14735.182
1046,85.9267,4459,383147.1553,463,39784.062099999996
554,46.3771,149,6910.1879,80,3710.1679999999997
1970,47.9169,47,2252.0942999999997,1,47.9169

weighted_avg,NA,NA,49099947.041099995,NA,15747323.515999997
weighted_%,NA,NA,0.7571628939704718,NA,0.24283710602952827
weighted_total,64847270.55709999
