Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,251729432,54737809800.104004
2298,16.1495,0,0.0
2235,73.9095,1672346009,123602257352.18549
562,151.883,412465115,62646439061.545006
2322,74.3347,183973008,13675578357.7776
533,77.6496,1191346223,92507557677.46082
655,136.191,1060675798,144454497605.418
414,208.958,795062017,166134568948.286
253,149.505,359575039,53758266205.695
853,129.616,1455324528,188633344021.24802
907,262.418,264937072,69524256560.09601
1114,12.9007,240817197,3106710413.3379
939,1055.11,699880492,738450905914.1199
2606,11.2554,2592680631,29181657574.1574
2837,150.956,284934596,43012586873.77599
1793,150.359,2390460746,359427287307.814
1046,85.9267,284676161,24461283083.3987
554,46.3771,294493922,13657774069.9862
1970,47.9169,4128226192,197811801619.4448

weighted_avg,NA,NA,2378784582445.8506
weighted_%,NA,NA,1.0
weighted_total,2378784582445.8506
