Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,97725,21250008.075,28289,6151358.183
2298,16.1495,0,0.0,0,0.0
2235,73.9095,44,3252.0179999999996,752,55579.943999999996
562,151.883,24593,3735258.6190000004,16476,2502424.308
2322,74.3347,1773,131795.42309999999,193,14346.597099999999
533,77.6496,2301,178671.72960000002,10483,814000.7568000001
655,136.191,121,16479.111,935,127338.585
414,208.958,75745,15827523.709999999,94390,19723545.62
253,149.505,122641,18335442.705,45933,6867213.165
853,129.616,86,11146.976,844,109395.90400000001
907,262.418,10836,2843561.448,16584,4351940.112
1114,12.9007,6518,84086.7626,314,4050.8198
939,1055.11,188223,198595969.52999997,197194,208061361.33999997
2606,11.2554,22,247.6188,182,2048.4827999999998
2837,150.956,136187,20558244.772,60804,9178728.624
1793,150.359,50,7517.950000000001,1019,153215.821
1046,85.9267,94742,8140867.4114,25477,2189154.5359
554,46.3771,2011,93264.3481,3438,159444.4698
1970,47.9169,2230,106854.68699999999,2116,101392.1604

weighted_avg,NA,NA,289920192.8946,NA,260566539.42859998
weighted_%,NA,NA,0.5266615449041976,NA,0.47333845509580236
weighted_total,550486732.3232
