Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,121001522,26311417954.334
2298,16.1495,89521069,1445720503.8155
2235,73.9095,395266993,29213985819.1335
562,151.883,99028320,15040718326.560001
2322,74.3347,128415443,9545723430.7721
533,77.6496,268191466,20824960058.313602
655,136.191,135183935,18410835291.585
414,208.958,122839938,25668387764.604
253,149.505,147190663,22005740071.815
853,129.616,395169496,51220289393.536
907,262.418,122192242,32065443761.156002
1114,12.9007,234148658,3020681592.2606
939,1055.11,110936576,117050290703.35999
2606,11.2554,1591160385,17909146597.329
2837,150.956,126717859,19128821123.204
1793,150.359,574183589,86333670258.451
1046,85.9267,127378142,10945183394.1914
554,46.3771,103337082,4792474185.6222
1970,47.9169,2512701825,120400882078.3425

weighted_avg,NA,NA,631334372308.3854
weighted_%,NA,NA,1.0
weighted_total,631334372308.3854
