Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,8,1739.576,5472,1189869.984
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,82,6060.579
562,151.883,29,4404.607,2191,332775.65300000005
2322,74.3347,0,0.0,34,2527.3797999999997
533,77.6496,13,1009.4448000000001,2062,160113.47520000002
655,136.191,0,0.0,260,35409.66
414,208.958,65,13582.27,22617,4726003.086
253,149.505,15,2242.575,8868,1325810.3399999999
853,129.616,1,129.616,120,15553.920000000002
907,262.418,22,5773.196,1867,489934.406
1114,12.9007,3,38.7021,9,116.1063
939,1055.11,142,149825.62,52193,55069356.23
2606,11.2554,0,0.0,126,1418.1804
2837,150.956,35,5283.46,5638,851089.928
1793,150.359,0,0.0,142,21350.978000000003
1046,85.9267,37,3179.2879,4885,419751.92949999997
554,46.3771,0,0.0,229,10620.3559
1970,47.9169,1,47.9169,47,2252.0942999999997

weighted_avg,NA,NA,187256.27169999998,NA,64660014.285399996
weighted_%,NA,NA,0.0028876507845479035,NA,0.9971123492154521
weighted_total,64847270.5571
