Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4081488,887507321.136
2298,16.1495,2878184,46481232.508
2235,73.9095,12383274,915241589.703
562,151.883,3916028,594778080.7240001
2322,74.3347,4276926,317924011.1322
533,77.6496,9324550,724047577.6800001
655,136.191,4298273,585386098.143
414,208.958,4704368,983015328.544
253,149.505,5030853,752137677.765
853,129.616,12788576,1657604066.8160002
907,262.418,5282979,1386348783.2220001
1114,12.9007,7850158,101272533.3106
939,1055.11,4777158,5040427177.379999
2606,11.2554,48690769,548034081.4026
2837,150.956,4587079,692447097.5239999
1793,150.359,18301982,2751867711.538
1046,85.9267,4227330,363240516.71099997
554,46.3771,3763333,174532470.8743
1970,47.9169,76566728,3668840248.9031997

weighted_avg,NA,NA,22191133605.0169
weighted_%,NA,NA,1.0
weighted_total,22191133605.0169
