Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,679575864,147771732899.208
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2313302501,170975031197.6595
562,151.883,687953083,104488378105.289
2322,74.3347,703069878,52262488460.166595
533,77.6496,1557532287,120941759072.63521
655,136.191,946823999,128948907247.809
414,208.958,872208994,182255046968.25198
253,149.505,952383510,142386096662.55
853,129.616,2218944194,287610670649.504
907,262.418,921304212,241766808704.616
1114,12.9007,1254350363,16181997727.954102
939,1055.11,853953074,901014427908.1399
2606,11.2554,7595158380,85486545630.252
2837,150.956,895883369,135238969850.76399
1793,150.359,3208748986,482464288785.974
1046,85.9267,853685004,73354335233.2068
554,46.3771,663998295,30794315327.0445
1970,47.9169,9921026246,475384822526.9574

weighted_avg,NA,NA,3787634915803.08
weighted_%,NA,NA,1.0
weighted_total,3787634915803.08
