Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,94324,20510470.828,14963,3253659.461
2298,16.1495,0,0.0,0,0.0
2235,73.9095,23,1699.9184999999998,154,11382.062999999998
562,151.883,23702,3599930.8660000004,7404,1124541.732
2322,74.3347,1998,148520.7306,105,7805.1435
533,77.6496,2005,155687.448,4163,323255.2848
655,136.191,142,19339.122,356,48483.996
414,208.958,70231,14675329.298,42530,8886983.74
253,149.505,129282,19328305.41,21532,3219141.6599999997
853,129.616,56,7258.496000000001,191,24756.656000000003
907,262.418,8871,2327910.078,6647,1744292.446
1114,12.9007,8088,104340.8616,194,2502.7358
939,1055.11,166359,175527044.48999998,103313,109006579.42999999
2606,11.2554,31,348.9174,144,1620.7776
2837,150.956,131580,19862790.479999997,23219,3505047.3639999996
1793,150.359,19,2856.8210000000004,163,24508.517
1046,85.9267,102216,8783083.5672,12336,1059991.7712
554,46.3771,1722,79861.3662,1059,49113.3489
1970,47.9169,4941,236757.4029,528,25300.123199999998

weighted_avg,NA,NA,265371536.1014,NA,132318966.25
weighted_%,NA,NA,0.6672815531986661,NA,0.3327184468013338
weighted_total,397690502.3514
