Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,54532904,11858016376.088
2298,16.1495,0,0.0
2235,73.9095,530346013,39197608647.823494
562,151.883,141555391,21499857451.253002
2322,74.3347,7852926,583744898.3321999
533,77.6496,88714061,6888611351.0256
655,136.191,16843014,2293866919.6740003
414,208.958,2960815059,618685993098.522
253,149.505,31926762,4773210552.809999
853,129.616,224345763,29078800417.008003
907,262.418,30631441,8038241484.338
1114,12.9007,133936,1727868.1552000002
939,1055.11,2152920412,2271567855905.32
2606,11.2554,736008630,8284071534.102
2837,150.956,14606936,2205004630.816
1793,150.359,175878668,26444940641.812
1046,85.9267,31933849,2743970262.8683
554,46.3771,22263054,1032495881.6633999
1970,47.9169,3420378,163893910.5882

weighted_avg,NA,NA,3055341911832.1997
weighted_%,NA,NA,1.0
weighted_total,3055341911832.1997
