Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688168,367087067.096,359069,78078476.843
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555995,115002812.45249999,329922,24384370.058999997
562,151.883,1197818,181928191.294,899085,136555727.055
2322,74.3347,1462556,108718661.4932,266600,19817631.02
533,77.6496,1552545,120554498.23200001,1670403,129706124.78880002
655,136.191,1192117,162355606.347,164237,22367601.267
414,208.958,1531526,320024609.908,1113720,232720703.76
253,149.505,1297764,194022206.82,603858,90279790.28999999
853,129.616,1843139,238900304.624,1251909,162267436.944
907,262.418,1425824,374161882.432,1769708,464403233.944
1114,12.9007,413804,5338361.262800001,155743,2009193.7201
939,1055.11,1456869,1537157050.59,1772632,1870321749.5199997
2606,11.2554,1582062,17806740.6348,181341,2041065.4914
2837,150.956,1425643,215209364.70799997,741636,111954404.01599999
1793,150.359,1485611,223374984.349,1100403,165455494.67700002
1046,85.9267,1228792,105586041.5464,287278,24684850.5226
554,46.3771,1369454,63511305.1034,799961,37099871.2931
1970,47.9169,1347838,64584218.6622,32295,1547476.2855

weighted_avg,NA,NA,4435941748.112301,NA,3576223903.8274994
weighted_%,NA,NA,0.5536507781810938,NA,0.44634922181890624
weighted_total,8012165651.9398
