Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,146547,31866205.509,3402,739754.694
2298,16.1495,0,0.0,0,0.0
2235,73.9095,32320,2388755.04,62802,4641664.419
562,151.883,20454,3106614.882,6907,1049055.881
2322,74.3347,2673,198696.6531,520,38654.044
533,77.6496,51194,3975193.6224,6697,520019.37120000005
655,136.191,12947,1763264.877,2042,278102.022
414,208.958,833697,174207657.726,173245,36200928.71
253,149.505,42512,6355756.56,2661,397832.805
853,129.616,126109,16345744.144000001,43350,5618853.600000001
907,262.418,12479,3274714.222,1702,446635.436
1114,12.9007,1137,14668.0959,59,761.1413
939,1055.11,597870,630818615.6999999,106537,112408254.07
2606,11.2554,185467,2087505.2718,193294,2175601.2876
2837,150.956,26431,3989918.036,963,145370.628
1793,150.359,92265,13872873.135000002,35926,5401797.434
1046,85.9267,60161,5169436.1987,2705,232431.7235
554,46.3771,7622,353486.2562,1267,58759.7857
1970,47.9169,9498,455114.71619999997,1069,51223.166099999995

weighted_avg,NA,NA,900244220.6452999,NA,170405700.2184
weighted_%,NA,NA,0.8408390110551424,NA,0.15916098894485758
weighted_total,1070649920.8636999
