Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,107930,23469054.71
2298,16.1495,0,0.0
2235,73.9095,26445,1954536.7274999998
562,151.883,218970,33257820.51
2322,74.3347,7550,561226.985
533,77.6496,645725,50140287.96
655,136.191,89585,12200670.735
414,208.958,2737180,571955658.4399999
253,149.505,416420,62256872.1
853,129.616,48320,6263045.120000001
907,262.418,105085,27576195.53
1114,12.9007,8710,112365.09700000001
939,1055.11,2978615,3142766472.6499996
2606,11.2554,57445,646566.453
2837,150.956,192540,29065068.24
1793,150.359,59235,8906515.365
1046,85.9267,409015,35145309.2005
554,46.3771,53685,2489754.6135
1970,47.9169,2041730,97833372.237

weighted_avg,NA,NA,4106600792.6734996
weighted_%,NA,NA,1.0
weighted_total,4106600792.6734996
