Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2281,495996.607,311,67626.017
2298,16.1495,0,0.0,0,0.0
2235,73.9095,22,1626.0089999999998,47,3473.7464999999997
562,151.883,1465,222508.595,672,102065.376
2322,74.3347,36,2676.0492,14,1040.6858
533,77.6496,809,62818.5264,956,74233.0176
655,136.191,68,9260.988,134,18249.594
414,208.958,7816,1633215.728,4596,960370.968
253,149.505,5660,846198.2999999999,765,114371.325
853,129.616,44,5703.104,64,8295.424
907,262.418,1130,296532.34,574,150627.932
1114,12.9007,17,219.3119,2,25.8014
939,1055.11,16159,17049522.49,6623,6987993.529999999
2606,11.2554,29,326.40659999999997,48,540.2592
2837,150.956,3541,534535.196,784,118349.50399999999
1793,150.359,19,2856.8210000000004,72,10825.848
1046,85.9267,6324,543400.4508,739,63499.8313
554,46.3771,263,12197.1773,162,7513.0902
1970,47.9169,3026,144996.5394,287,13752.1503

weighted_avg,NA,NA,21864590.639599994,NA,8702854.100299997
weighted_%,NA,NA,0.7152901011401821,NA,0.28470989885981784
weighted_total,30567444.739899993
