Scarab gitrev: 3067351
Scarab started at Fri Jan  3 08:56:28 2025

L1I D-JOLT instruction prefetcher has been constructed!
Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000004 } -- 100.00 KIPS (93.75 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 100.00 KIPS (95.24 KIPS)
** Heartbeat:  25% -- { 5000009 } -- 111.11 KIPS (98.04 KIPS)
** Heartbeat:  30% -- { 6000013 } -- 100.00 KIPS (98.36 KIPS)
** Heartbeat:  35% -- { 7000014 } -- 100.00 KIPS (98.59 KIPS)
** Heartbeat:  40% -- { 8000015 } -- 111.11 KIPS (100.00 KIPS)
** Heartbeat:  45% -- { 9000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  50% -- { 10000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  55% -- { 11000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  60% -- { 12000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  65% -- { 13000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  70% -- { 14000020 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  75% -- { 15000020 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  80% -- { 16000021 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  85% -- { 17000023 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  90% -- { 18000023 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  95% -- { 19000027 } -- 100.00 KIPS (100.00 KIPS)
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
** Core 0 Finished:    insts:20068633    cycles:10738049    time:3355640312500       -- 1.87 IPC (1.87 IPC) --  N/A  KIPS (100.50 KIPS)
Scarab finished at Fri Jan  3 08:59:47 2025

