Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,90095696,72991118210.096
5297,898.498,90472410,81289279440.18001
5168,967.77,90424568,87510184173.36
2807,979.819,90188982,88368878154.258
2215,509.983,90416127,46110687695.841
1490,862.35,90507941,78049522921.35
3954,490.914,90404873,44381017823.922
2031,399.553,90194323,36037412337.619

weighted_avg,NA,NA,534738100756.626
weighted_%,NA,NA,1.0
weighted_total,534738100756.626
