Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190225,154110973.975,7711,6247074.361,4226332,3423967096.132
5297,898.498,192436,172903361.12800002,7484,6724359.032000001,4226895,3797856703.71
5168,967.77,196571,190235516.67,6352,6147275.04,4221846,4085775903.42
2807,979.819,189445,185621810.45499998,6343,6214991.916999999,4228668,4143329251.092
2215,509.983,195939,99925559.037,6213,3168524.379,4222610,2153459315.63
1490,862.35,195775,168826571.25,6785,5851044.75,4224417,3642925999.9500003
3954,490.914,196098,96267253.572,6260,3073121.64,4222237,2072755254.618
2031,399.553,195280,78024709.84,6240,2493210.72,4223138,1687367457.314

weighted_avg,NA,NA,1145915755.9269998,NA,39919601.839,NA,25007436981.866
weighted_%,NA,NA,0.043748476367084545,NA,0.0015240402696305813,NA,0.954727483363285
weighted_total,26193272339.632
