Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,43727,35425472.776999995,1504,1218467.1039999998
5297,898.498,46172,41485449.656,1511,1357630.4780000001
5168,967.77,45294,43834174.38,1201,1162291.77
2807,979.819,43060,42191006.14,1418,1389383.342
2215,509.983,44428,22657524.724,1321,673687.5430000001
1490,862.35,44613,38472020.550000004,1250,1077937.5
3954,490.914,44624,21906546.336,1345,660279.33
2031,399.553,44407,17742950.071,1716,685632.948

weighted_avg,NA,NA,263715144.63400003,NA,8225310.015
weighted_%,NA,NA,0.9697532681350532,NA,0.03024673186494669
weighted_total,271940454.64900005
