Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,5596,4533604.995999999,1953,1582224.903
5297,898.498,7670,6891479.66,1920,1725116.1600000001
5168,967.77,6548,6336957.96,1887,1826181.99
2807,979.819,5627,5513441.512999999,1931,1892030.4889999998
2215,509.983,6949,3543871.867,1548,789453.684
1490,862.35,6329,5457813.15,2094,1805760.9000000001
3954,490.914,6012,2951374.968,1850,908190.9
2031,399.553,5896,2355764.488,1792,715998.976

weighted_avg,NA,NA,37584308.602,NA,11244958.002
weighted_%,NA,NA,0.7697086443424314,NA,0.23029135565756859
weighted_total,48829266.604
