Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,4011,3249515.661,0,0.0
5297,898.498,5815,5224765.87,0,0.0
5168,967.77,4571,4423676.67,0,0.0
2807,979.819,3960,3880083.2399999998,0,0.0
2215,509.983,4876,2486677.108,0,0.0
1490,862.35,4258,3671886.3000000003,0,0.0
3954,490.914,4110,2017656.54,0,0.0
2031,399.553,3986,1592618.258,0,0.0

weighted_avg,NA,NA,26546879.647,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,26546879.647
