Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,645641370,523067001546.87
5297,898.498,649980119,584005836961.2621
5168,967.77,647439793,626572808471.61
2807,979.819,645895528,632860710349.432
2215,509.983,647604636,330267355081.188
1490,862.35,648645633,559359561617.55
3954,490.914,647842502,318034954026.828
2031,399.553,646200255,258191250486.01498

weighted_avg,NA,NA,3832359478540.7554
weighted_%,NA,NA,1.0
weighted_total,3832359478540.7554
