Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,5925,4800144.675,39306,31843795.205999997
5297,898.498,5973,5366728.5540000005,41710,37476351.580000006
5168,967.77,6010,5816297.7,40485,39180168.45
2807,979.819,5960,5839721.24,38518,37740668.242
2215,509.983,5941,3029809.003,39808,20301403.264
1490,862.35,5924,5108561.4,39939,34441396.65
3954,490.914,5966,2928792.924,40003,19638032.742
2031,399.553,5972,2386130.516,40151,16042452.503

weighted_avg,NA,NA,35276186.011999995,NA,236664268.637
weighted_%,NA,NA,0.12972025827320105,NA,0.870279741726799
weighted_total,271940454.649
