Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,296297,240045310.84699997,105674,85611896.77399999
5297,898.498,297091,266935669.31800002,110115,98938107.27000001
5168,967.77,297394,287808991.38,105748,102339741.96
2807,979.819,292655,286748929.445,104509,102399903.87099999
2215,509.983,296680,151301756.44,106423,54273920.809
1490,862.35,293038,252701319.3,105550,91021042.5
3954,490.914,293508,144087186.312,106424,52245031.536
2031,399.553,292881,117021482.193,106102,42393372.406

weighted_avg,NA,NA,1746650645.2350001,NA,629223017.126
weighted_%,NA,NA,0.7351614157376045,NA,0.26483858426239554
weighted_total,2375873662.361
