Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
517,810.151,14.537,11777.165087
5297,898.498,14.526,13051.581948000001
5168,967.77,14.532,14063.63364
2807,979.819,14.54,14246.568259999998
2215,509.983,14.523,7406.483109
1490,862.35,14.538,12536.8443
3954,490.914,14.534,7134.944076
2031,399.553,14.533,5806.703748999999

weighted_avg,NA,NA,86023.92416899999
weighted_%,NA,NA,1.0
weighted_total,86023.92416899999
