Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,292952,237335355.75199997,62373,50531548.323
5297,898.498,290446,260965150.108,64767,58193019.966000006
5168,967.77,292959,283516931.43,61456,59475273.12
2807,979.819,289869,284019153.71099997,62162,60907508.677999996
2215,509.983,292162,148997653.246,62844,32049371.652
1490,862.35,288363,248669833.05,61379,52930180.65
3954,490.914,290124,142425933.336,62653,30757234.842
2031,399.553,290645,116128081.685,61919,24739922.207

weighted_avg,NA,NA,1722058092.3179998,NA,369584059.438
weighted_%,NA,NA,0.8233043548449612,NA,0.17669564515503883
weighted_total,2091642151.7559998
