Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,7240,5865493.239999999,309,250336.65899999999
5297,898.498,9236,8298527.528000001,354,318068.292
5168,967.77,8155,7892164.35,280,270975.6
2807,979.819,7252,7105647.387999999,306,299824.614
2215,509.983,8229,4196650.107,268,136675.444
1490,862.35,8068,6957439.8,355,306134.25
3954,490.914,7601,3731437.314,261,128128.554
2031,399.553,7392,2953495.776,296,118267.688

weighted_avg,NA,NA,47000855.503000006,NA,1828411.101
weighted_%,NA,NA,0.9625550161171124,NA,0.037444983882887556
weighted_total,48829266.60400001
