Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1458090,1181273071.59,498441,403812474.59099996,138,111800.83799999999,0,0.0
5297,898.498,1476942,1327029433.1160002,504384,453188015.23200005,250,224624.5,164,147353.67200000002
5168,967.77,1458195,1411197375.1499999,501367,485207941.59,397,384204.69,0,0.0
2807,979.819,1462984,1433459519.896,492402,482464835.238,444,435039.636,1,979.819
2215,509.983,1459146,744139654.518,499349,254659501.067,372,189713.676,0,0.0
1490,862.35,1473753,1270890899.55,494703,426607132.05,420,362187.0,160,137976.0
3954,490.914,1462805,718111453.77,497607,244282242.798,402,197347.42799999999,0,0.0
2031,399.553,1463116,584592387.148,496181,198250607.093,432,172606.896,0,0.0

weighted_avg,NA,NA,8670693794.738,NA,2948472749.6589994,NA,2077524.6639999999,NA,286309.49100000004
weighted_%,NA,NA,0.7460888120845182,NA,0.25370778663544385,NA,0.00017876515366979165,NA,2.4636126368382232e-05
weighted_total,11621530378.551998
