Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,78630,63702173.129999995,17978,14564894.678
5297,898.498,78582,70605769.83600001,19004,17075055.992000002
5168,967.77,81280,78660345.6,17342,16783067.34
2807,979.819,77428,75865425.53199999,18255,17886595.845
2215,509.983,78574,40071404.242,18044,9202133.252
1490,862.35,77627,66941643.45,19068,16443289.8
3954,490.914,79530,39042390.42,18547,9104981.958
2031,399.553,79238,31659780.614,18392,7348578.776

weighted_avg,NA,NA,466548932.824,NA,108408597.641
weighted_%,NA,NA,0.8114493820903189,NA,0.188550617909681
weighted_total,574957530.465
