Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,355325,287866904.075,46215,37441128.464999996
5297,898.498,355213,319158170.074,46659,41923018.182000004
5168,967.77,354415,342992204.55,45619,44148699.63
2807,979.819,352031,344926662.389,45137,44226090.203
2215,509.983,355006,181047024.898,45854,23384760.482
1490,862.35,349742,301600013.7,46799,40357117.65
3954,490.914,352777,173183168.178,45092,22136294.088
2031,399.553,352564,140868003.892,45187,18054601.411

weighted_avg,NA,NA,2091642151.7559998,NA,271671710.111
weighted_%,NA,NA,0.885046284162874,NA,0.11495371583712603
weighted_total,2363313861.8669996
