Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1481146,1199951913.046,7549,6115829.898999999
5297,898.498,1485175,1334426767.15,9590,8616595.82
5168,967.77,1483855,1436030353.35,8435,8163139.95
2807,979.819,1480922,1451035513.118,7558,7405472.001999999
2215,509.983,1481859,755722898.397,8497,4333325.551
1490,862.35,1487205,1282491231.75,8423,7263574.05
3954,490.914,1482514,727786877.796,7862,3859565.868
2031,399.553,1482550,592357300.15,7688,3071763.464

weighted_avg,NA,NA,8779802854.757,NA,48829266.604
weighted_%,NA,NA,0.9944692149437445,NA,0.0055307850562554195
weighted_total,8828632121.361
