Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,492949,399363125.29899997
5297,898.498,1463941,1315348060.618,517799,465241365.902
5168,967.77,1463556,1416385590.12,496403,480403931.31
2807,979.819,1463314,1433782860.166,492517,482577514.423
2215,509.983,1464454,746846644.2820001,494413,252142224.979
1490,862.35,1464636,1263028854.6000001,504400,434969340.0
3954,490.914,1463955,718676004.87,496859,243915039.126
2031,399.553,1464988,585340350.364,494741,197675250.773

weighted_avg,NA,NA,8665242586.74,NA,2956287791.8120003
weighted_%,NA,NA,0.7456197509694638,NA,0.2543802490305363
weighted_total,11621530378.552
