Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
4118,2431.67,873316636,2123617864262.12
1010,22.174,915907713,20309337628.062
1362,2347.06,866925119,2034725269800.14
5198,1186.62,869142968,1031342428688.1599

weighted_avg,NA,NA,5209994900378.482
weighted_%,NA,NA,1.0
weighted_total,5209994900378.482
