Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
4118,2431.67,8455565,20561143743.55
1010,22.174,8572575,190088278.04999998
1362,2347.06,8164705,19163052517.3
5198,1186.62,8341755,9898493318.099998

weighted_avg,NA,NA,49812777856.99999
weighted_%,NA,NA,1.0
weighted_total,49812777856.99999
