Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
4118,2431.67,13.731,33389.26077
1010,22.174,14.154,313.850796
1362,2347.06,13.714,32187.58084
5198,1186.62,13.741,16305.345419999998

weighted_avg,NA,NA,82196.037826
weighted_%,NA,NA,1.0
weighted_total,82196.037826
