cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
7,7ffdac6d787c,7ffdac63dc53,0,118,0,0,0,0,0,0,0,0,0
1,7ffda9c736f4,7ffda9ba70a0,0,352,0,0,0,0,0,1,0,0,2
2,7ffda9fda42f,7ffda9fda450,0,890,0,227,0,0,0,1,0,0,456
1,7ffda9fda46e,7ffda9ea8f50,0,647,0,0,0,0,0,1,0,0,2
2,7ffda9fda420,0,0,647,0,0,0,0,0,3,0,0,6
2,7ffda9fda464,7ffda9fda46b,0,647,0,0,0,0,0,1,0,0,2
2,7ffda9fda44c,0,0,243,0,0,0,0,0,0,0,0,0
1,7ffda9fda44e,7ffda9fda428,0,243,0,0,0,0,0,1,0,0,2
2,7ffda9fda3fa,0,0,647,0,0,0,0,0,2,0,0,4
2,7ffda9c7968d,7ffda9c796c8,0,117,0,0,0,0,0,1,0,0,2
3,7ffda9c79685,7ffda9cca100,0,117,0,0,0,0,0,1,0,0,2
7,7ffda9c796d8,7ffda9eb894b,0,117,0,0,0,0,0,0,0,0,0
7,7ffff74ccbf1,7ffda9eb8566,0,1,0,0,0,0,0,0,0,0,0
2,7ffda9ec53aa,7ffda9ec53bb,0,648,0,0,0,0,0,1,0,0,2
2,7ffda9ec53a4,7ffda9ec53c4,0,943,0,37,0,0,0,1,0,0,76
2,7ffda9ec53be,7ffda9ec53dc,0,648,0,17,0,0,0,1,0,0,36
1,7ffda9ec53cb,7ffda9ea1ef0,0,707,0,0,0,0,0,1,0,0,2
1,7ffda9ec53dc,7ffda9ea1ef0,0,236,0,0,0,0,0,1,0,0,2
2,7ffda9ec5355,7ffda9ec539c,0,943,0,0,0,0,0,1,0,0,2
3,7ffff74ccbb3,7ffff74bd8c0,0,1,0,0,0,0,0,1,0,0,2
2,7ffff74ccbbb,0,0,1,0,0,0,0,0,0,0,0,0
3,7ffff74ccbe1,7ffff74bd4c0,0,1,0,0,0,0,0,1,0,0,2
2,7ffff74ccbe9,0,0,1,0,0,0,0,0,0,0,0,0
1,7ffff74ccc64,0,0,1,0,0,0,0,0,1,0,0,2
7,7ffda9cca1f9,7ffda9c7968a,0,117,0,0,0,0,0,0,0,0,0
7,7ffdaadca039,7ffda9ea8fc1,0,647,0,0,0,0,0,0,0,0,0
2,7ffda9cca1f0,0,0,117,0,0,0,0,0,0,0,0,0
2,7ffda9cca1c0,0,0,117,0,0,0,0,0,0,0,0,0
2,7ffda9cca1dc,0,0,117,0,0,0,0,0,0,0,0,0
1,7ffda9cca1de,7ffda9cca1e2,0,117,0,0,0,0,0,1,0,0,2
2,7ffda9cca1d3,0,0,117,0,0,0,0,0,0,0,0,0
2,7ffda9cca163,7ffda9cca1ba,0,117,0,0,0,0,0,1,0,0,2
3,7ffda9cca124,7ffda9d04bf0,0,117,0,0,0,0,0,1,0,0,2
2,7ffda9cca139,0,0,117,0,0,0,0,0,0,0,0,0
2,7ffda9cca119,0,0,117,0,0,0,0,0,0,0,0,0
2,7ffdaadca02a,0,0,647,0,0,0,0,0,0,0,0,0
1,7ffff74cad64,7ffff74bd960,0,177,0,0,0,0,0,1,0,0,2
7,7ffda9ec04f2,7ffda9ebb7c4,0,177,0,0,0,0,0,0,0,0,0
2,7ffda9ec03ab,0,0,177,0,0,0,0,0,0,0,0,0
2,7ffda9ec03b4,7ffda9ec04e7,0,177,0,0,0,0,0,1,0,0,2
7,7ffda9ebe578,7ffda9ebb638,0,59,0,0,0,0,0,0,0,0,0
7,7ffda9ebe0ef,7ffda9ebc0a7,0,236,0,0,0,0,0,0,0,0,0
3,7ffda9eb7c06,7ffda9eb87f0,0,117,0,0,0,0,0,1,0,0,2
2,7ffda9eb7c12,7ffda9eb7c00,0,117,0,0,0,0,0,1,0,0,2
7,7ffda9ebe2a3,7ffda9ebad37,0,236,0,0,0,0,0,0,0,0,0
2,7ffda9ebe1ec,7ffda9ebe23a,0,413,0,52,0,0,0,1,0,0,106
2,7ffda9ebe1ae,0,0,413,0,0,0,0,0,2,0,0,4
3,7ffda9ebe1f8,7ffda9ebc210,0,295,0,0,0,0,0,1,0,0,2
2,7ffda9ebe1b3,0,0,413,0,0,0,0,0,0,0,0,0
3,7ffda9ebe182,7ffda9ec5340,0,295,0,0,0,0,0,1,0,0,2
2,7ffda9ebe198,7ffda9ebe283,0,413,0,2,0,0,0,1,0,0,6
2,7ffda9ebe1d1,0,0,413,0,0,0,0,0,0,0,0,0
2,7ffda9ebe568,0,0,59,0,0,0,0,0,0,0,0,0
2,7ffda9ebe12c,0,0,236,0,0,0,0,0,0,0,0,0
1,7ffda9ebe165,7ffda9ebe19e,0,236,0,0,0,0,0,1,0,0,2
1,7ffda9ebe083,7ffda9ebe063,0,67,0,0,0,0,0,1,0,0,2
2,7ffda9ebe0df,0,0,236,0,0,0,0,0,0,0,0,0
2,7ffda9ebe06a,7ffda9ebdfa0,0,260,0,57,0,0,0,1,0,0,116
2,7ffda9ebe02a,0,0,118,0,0,0,0,0,0,0,0,0
2,7ffda9ebe07d,7ffda9ebdff2,0,142,0,30,0,0,0,1,0,0,62
2,7ffda9ebe00c,7ffda9ebdfa0,0,236,0,11,0,0,0,1,0,0,24
2,7ffda9ebe040,0,0,118,0,0,0,0,0,0,0,0,0
2,7ffda9ebe005,7ffda9ebdfa0,0,295,0,11,0,0,0,1,0,0,24
1,7ffda9ebe059,7ffda9ebdfa0,0,118,0,0,0,0,0,1,0,0,2
2,7ffda9ebe01a,0,0,118,0,0,0,0,0,0,0,0,0
2,7ffda9ebe013,0,0,118,0,0,0,0,0,0,0,0,0
2,7ffda9ebe2da,7ffda9ebe558,0,59,0,1,0,0,0,1,0,0,4
2,7ffda9ebe291,0,0,236,0,0,0,0,0,0,0,0,0
2,7ffda9ebe222,0,0,118,0,0,0,0,0,1,0,0,2
1,7ffda9ebe235,7ffda9ebe191,0,118,0,0,0,0,0,1,0,0,2
2,7ffda9ebe205,7ffda9ebe170,0,295,0,25,0,0,0,1,0,0,52
