Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,6251,281011.2046
812,334.908,41328,13841077.824000001
1358,97.2156,29720,2889247.6319999998
1778,40.8635,16,653.816
828,45.4532,525,23862.93
2213,8.07837,30,242.35109999999997
1726,65.5195,6,393.11699999999996
2054,37.2896,506,18868.5376
1903,16.1097,51,821.5947
509,133.977,4897,656085.3690000001
1751,10.0901,0,0.0
62,40.4224,1762,71224.2688
2151,40.7196,502,20441.2392
239,98.774,165,16297.710000000001
1893,44.3029,0,0.0
1305,111.513,38091,4247641.683
1673,34.2884,78,2674.4952000000003
492,45.4197,7002,318028.7394
2249,320.874,57493,18448008.882000003
264,17.7912,4199,74705.2488
2123,26.1783,16,418.8528
116,27.1629,243,6600.5847
1159,18.1708,415,7540.882
1270,263.009,31852,8377362.6680000005
2165,28.2044,85,2397.374
1152,171.372,374,64093.128000000004
792,79.0312,4221,333590.6952
1979,51.6033,305,15739.0065
2185,56.1164,57,3198.6348

weighted_avg,NA,NA,49722228.4684
weighted_%,NA,NA,1.0
weighted_total,49722228.4684
