Simpoints,Weight,NODE_INST_COUNT_val,NODE_INST_COUNT_w_val
2264,44.9546,10085999,453412050.6454
812,334.908,10000000,3349080000.0
1358,97.2156,9999998,972155805.5688
1778,40.8635,16898363,690526256.4505
828,45.4532,10858258,493542572.5256
2213,8.07837,9999996,80783667.68652
1726,65.5195,10000000,655194999.9999999
2054,37.2896,10004093,373048626.3328
1903,16.1097,10000000,161097000.0
509,133.977,10002949,1340165098.173
1751,10.0901,9999997,100900969.7297
62,40.4224,10000000,404224000.00000006
2151,40.7196,10282609,418703725.4364
239,98.774,9999996,987739604.904
1893,44.3029,9999998,443028911.3942
1305,111.513,9999999,1115129888.487
1673,34.2884,10000000,342884000.0
492,45.4197,9999998,454196909.1606
2249,320.874,10140579,3253848146.046
264,17.7912,10016381,178203437.6472
2123,26.1783,9999999,261782973.8217
116,27.1629,10133111,275244680.7819
1159,18.1708,9999998,181707963.6584
1270,263.009,10004505,2631274855.545
2165,28.2044,10000000,282044000.0
1152,171.372,9999998,1713719657.256
792,79.0312,10000000,790312000.0
1979,51.6033,9999997,516032845.19009995
2185,56.1164,10653742,597849647.5688

weighted_avg,NA,NA,23517834294.00962
weighted_%,NA,NA,1.0
weighted_total,23517834294.00962
