Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2264,44.9546,15.781,709.4285426
812,334.908,17.457,5846.488956
1358,97.2156,16.886,1641.5826215999998
1778,40.8635,16.024,654.796724
828,45.4532,16.638,756.2503416000001
2213,8.07837,12.706,102.64376922
1726,65.5195,16.191,1060.8262244999999
2054,37.2896,18.138,676.3587648
1903,16.1097,11.508,185.39042759999998
509,133.977,19.705,2640.016785
1751,10.0901,18.349,185.14324489999998
62,40.4224,15.225,615.43104
2151,40.7196,17.325,705.4670699999999
239,98.774,16.517,1631.4501579999999
1893,44.3029,14.552,644.6958008
1305,111.513,15.774,1759.006062
1673,34.2884,11.667,400.04276280000005
492,45.4197,18.711,849.8480066999999
2249,320.874,15.285,4904.559090000001
264,17.7912,19.884,353.7602208
2123,26.1783,20.815,544.9013145
116,27.1629,22.221,603.5868009
1159,18.1708,16.767,304.66980359999997
1270,263.009,15.699,4128.978291
2165,28.2044,17.702,499.2742888
1152,171.372,14.212,2435.538864
792,79.0312,17.789,1405.8860168
1979,51.6033,17.217,888.4540160999999
2185,56.1164,16.403,920.4773091999999

weighted_avg,NA,NA,38054.95331782
weighted_%,NA,NA,1.0
weighted_total,38054.95331782
