Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1646171,74002958.8366,5749,258443.99539999999
812,334.908,1635886,547871308.488,14925,4998501.9
1358,97.2156,1410772,137149046.4432,17559,1707008.7204
1778,40.8635,1418873,57980116.8355,3,122.5905
828,45.4532,2654488,120654973.9616,698,31726.3336
2213,8.07837,1257201,10156134.84237,63,508.93730999999997
1726,65.5195,1213973,79538903.9735,31,2031.1045
2054,37.2896,1418476,52894402.6496,464,17302.3744
1903,16.1097,835740,13463520.678,41,660.4977
509,133.977,1355830,181650035.91,10950,1467048.1500000001
1751,10.0901,1291355,13029901.0855,0,0.0
62,40.4224,1550469,62673678.10560001,1060,42847.744000000006
2151,40.7196,2244105,91379057.958,467,19016.0532
239,98.774,1440367,142270810.058,304,30027.296000000002
1893,44.3029,697849,30916734.4621,0,0.0
1305,111.513,1712640,190981624.32000002,23991,2675308.383
1673,34.2884,1528744,52418185.769600004,137,4697.5108
492,45.4197,1237058,56186803.2426,10035,455786.6895
2249,320.874,1927447,618467628.6780001,29737,9541830.138
264,17.7912,2874841,51146871.1992,2485,44211.132
2123,26.1783,1359727,35595341.3241,70,1832.481
116,27.1629,1296976,35229629.3904,364,9887.2956
1159,18.1708,1561361,28371178.4588,473,8594.7884
1270,263.009,2178533,572973785.797,19358,5091328.222
2165,28.2044,1061174,29929775.9656,25,705.11
1152,171.372,1542205,264290755.26000002,1136,194678.592
792,79.0312,1208910,95541607.992,2206,174342.8272
1979,51.6033,1187257,61266379.148099996,2263,116778.26789999999
2185,56.1164,2643321,148333658.5644,32,1795.7248

weighted_avg,NA,NA,3856364809.3973703,NA,26897022.859210003
weighted_%,NA,NA,0.9930736004881803,NA,0.006926399511819687
weighted_total,3883261832.2565804
