Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,194878083,8760666270.0318
812,334.908,166197245,55660786928.46
1358,97.2156,351684376,34189207623.4656
1778,40.8635,237847308,9719273470.458
828,45.4532,1450250250,65918514663.3
2213,8.07837,174213309,1407359569.02633
1726,65.5195,13909032,911312822.124
2054,37.2896,315851770,11777986162.592001
1903,16.1097,19832222,319491146.7534
509,133.977,204690278,27423789375.606
1751,10.0901,0,0.0
62,40.4224,102270203,4134007053.7472005
2151,40.7196,1542952706,62828417007.2376
239,98.774,32087579,3169418528.146
1893,44.3029,0,0.0
1305,111.513,480124555,53540129501.715004
1673,34.2884,240071138,8231655208.199201
492,45.4197,236752966,10753248689.8302
2249,320.874,404571694,129816537740.55602
264,17.7912,564460437,10042428526.7544
2123,26.1783,175677740,4598944581.042
116,27.1629,762902607,20722647223.6803
1159,18.1708,402022724,7305074513.2592
1270,263.009,718009000,188842829081.0
2165,28.2044,2764663,77975661.1172
1152,171.372,182314522,31243604264.184002
792,79.0312,39683426,3136228776.8912
1979,51.6033,122618595,6327524143.3635
2185,56.1164,1592540449,89367636852.2636

weighted_avg,NA,NA,850226695384.8037
weighted_%,NA,NA,1.0
weighted_total,850226695384.8037
