Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200637,53974156.0802,835886,37576920.7756
812,334.908,1500457,502515052.95600003,353090,118252665.72
1358,97.2156,1042016,101300210.6496,711834,69201369.4104
1778,40.8635,1379384,56366458.08400001,147426,6024342.351000001
828,45.4532,1162831,52854390.0092,2150080,97728016.25600001
2213,8.07837,1190620,9618268.8894,238894,1929874.1227799999
1726,65.5195,1230040,80591605.77999999,129450,8481499.274999999
2054,37.2896,1403702,52343486.0992,68951,2571155.2096
1903,16.1097,822227,13245830.3019,23288,375162.6936
509,133.977,1145137,153422019.849,309675,41489327.475
1751,10.0901,1324028,13359574.922799999,49609,500559.7709
62,40.4224,1424400,57577666.56,305990,12368850.176
2151,40.7196,1324326,53926024.9896,1570878,63965523.8088
239,98.774,1450429,143264674.046,74574,7365972.276
1893,44.3029,673150,29822497.135,41756,1849911.8924
1305,111.513,1246111,138957575.94300002,934277,104184031.10100001
1673,34.2884,1381364,47364761.37760001,259065,8882924.346
492,45.4197,976125,44335304.6625,414745,18837593.4765
2249,320.874,1361209,436776576.666,1345906,431866241.84400004
264,17.7912,1362172,24234674.4864,2219844,39493688.5728
2123,26.1783,1109324,29040216.4692,375177,9821496.0591
116,27.1629,1253479,34048124.729100004,938464,25491403.7856
1159,18.1708,1385216,25170482.8928,491561,8932056.6188
1270,263.009,1313301,345409982.709,1764803,464159072.227
2165,28.2044,1108368,31260854.4192,29315,826811.986
1152,171.372,1169617,200439604.52400002,665484,114045324.04800001
792,79.0312,1191643,94176976.2616,61785,4882942.692
1979,51.6033,1060334,54716733.5022,266406,13747428.739799999
2185,56.1164,1107888,62170686.1632,2443917,137143823.9388

weighted_avg,NA,NA,2942284471.1577,NA,1851995990.6484802
weighted_%,NA,NA,0.6137072068681677,NA,0.3862927931318323
weighted_total,4794280461.80618
