Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,3568,160398.0128,0,0.0
812,334.908,13147,4403035.476,0,0.0
1358,97.2156,11925,1159296.03,0,0.0
1778,40.8635,1,40.8635,0,0.0
828,45.4532,314,14272.3048,0,0.0
2213,8.07837,7,56.54859,0,0.0
1726,65.5195,25,1637.9874999999997,0,0.0
2054,37.2896,220,8203.712,0,0.0
1903,16.1097,21,338.3037,0,0.0
509,133.977,9955,1333741.0350000001,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,778,31448.627200000003,0,0.0
2151,40.7196,135,5497.146,0,0.0
239,98.774,262,25878.788,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,15286,1704587.718,0,0.0
1673,34.2884,108,3703.1472000000003,0,0.0
492,45.4197,8139,369670.9383,0,0.0
2249,320.874,21027,6747017.598,0,0.0
264,17.7912,1383,24605.2296,0,0.0
2123,26.1783,65,1701.5895,0,0.0
116,27.1629,306,8311.8474,0,0.0
1159,18.1708,117,2125.9836,0,0.0
1270,263.009,7751,2038582.759,0,0.0
2165,28.2044,25,705.11,0,0.0
1152,171.372,807,138297.204,0,0.0
792,79.0312,2195,173473.484,0,0.0
1979,51.6033,1946,100420.02179999999,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,18457328.047489997,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,18457328.047489997
