Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2264,44.9546,14,629.3643999999999
812,334.908,15,5023.62
1358,97.2156,15,1458.234
1778,40.8635,16,653.816
828,45.4532,15,681.798
2213,8.07837,15,121.17554999999999
1726,65.5195,15,982.7924999999999
2054,37.2896,15,559.344
1903,16.1097,16,257.7552
509,133.977,16,2143.632
1751,10.0901,16,161.4416
62,40.4224,15,606.336
2151,40.7196,15,610.794
239,98.774,15,1481.6100000000001
1893,44.3029,16,708.8464
1305,111.513,15,1672.6950000000002
1673,34.2884,16,548.6144
492,45.4197,16,726.7152
2249,320.874,13,4171.362
264,17.7912,15,266.868
2123,26.1783,15,392.6745
116,27.1629,14,380.2806
1159,18.1708,15,272.562
1270,263.009,13,3419.117
2165,28.2044,16,451.2704
1152,171.372,14,2399.208
792,79.0312,16,1264.4992
1979,51.6033,16,825.6528
2185,56.1164,15,841.746

weighted_avg,NA,NA,33713.82475
weighted_%,NA,NA,1.0
weighted_total,33713.82475
