Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,472615,21246218.279
812,334.908,575205,192640756.14000002
1358,97.2156,2560330,248904017.14799997
1778,40.8635,295,12054.7325
828,45.4532,178245,8101805.634000001
2213,8.07837,17870,144360.4719
1726,65.5195,2390,156591.60499999998
2054,37.2896,59165,2206239.184
1903,16.1097,6395,103021.5315
509,133.977,1221835,163697787.79500002
1751,10.0901,0,0.0
62,40.4224,129805,5247029.632
2151,40.7196,157090,6396641.964
239,98.774,7765,766980.11
1893,44.3029,0,0.0
1305,111.513,3931760,438442352.88
1673,34.2884,11535,395516.694
492,45.4197,1093385,49661218.6845
2249,320.874,2418165,775926276.21
264,17.7912,218390,3885420.168
2123,26.1783,8680,227227.644
116,27.1629,24730,671738.517
1159,18.1708,108285,1967625.078
1270,263.009,3372130,886900539.1700001
2165,28.2044,2705,76292.902
1152,171.372,99465,17045515.98
792,79.0312,70180,5546409.615999999
1979,51.6033,515090,26580343.797
2185,56.1164,8525,478392.31

weighted_avg,NA,NA,2857428373.8774
weighted_%,NA,NA,1.0
weighted_total,2857428373.8774
