Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4334967,194876707.4982
812,334.908,3925758,1314767760.2640002
1358,97.2156,5746433,558642931.9548
1778,40.8635,10646573,435056235.78550005
828,45.4532,9840671,447289987.09720004
2213,8.07837,4727677,38191924.04649
1726,65.5195,2978116,195124671.262
2054,37.2896,2861416,106701058.0736
1903,16.1097,3123283,50315152.1451
509,133.977,9673573,1296036289.821
1751,10.0901,3681301,37144695.2201
62,40.4224,3934583,159045287.8592
2151,40.7196,9250476,376675682.5296
239,98.774,2942396,290632222.504
1893,44.3029,3561411,157780835.3919
1305,111.513,7045418,785655697.434
1673,34.2884,3974992,136296115.69280002
492,45.4197,7312004,332109028.07879996
2249,320.874,4645068,1490481549.4320002
264,17.7912,15959144,283932322.7328
2123,26.1783,10480029,274349343.1707
116,27.1629,6199721,168402401.5509
1159,18.1708,3879754,70498233.9832
1270,263.009,5888546,1548740594.914
2165,28.2044,3282876,92591547.8544
1152,171.372,3789564,649425161.8080001
792,79.0312,4209527,332683970.2424
1979,51.6033,4533959,233967246.46469998
2185,56.1164,15903753,892461364.8492

weighted_avg,NA,NA,12949876019.660591
weighted_%,NA,NA,1.0
weighted_total,12949876019.660591
