Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,3694,166062.2924,2055,92381.703
812,334.908,13228,4430163.024,1697,568338.876
1358,97.2156,12652,1229971.7711999998,4907,477036.9492
1778,40.8635,1,40.8635,2,81.727
828,45.4532,332,15090.4624,366,16635.8712
2213,8.07837,8,64.62696,55,444.31034999999997
1726,65.5195,26,1703.5069999999998,5,327.59749999999997
2054,37.2896,235,8763.056,229,8539.3184
1903,16.1097,21,338.3037,20,322.194
509,133.977,9992,1338698.1840000001,958,128349.966
1751,10.0901,0,0.0,0,0.0
62,40.4224,808,32661.2992,252,10186.444800000001
2151,40.7196,141,5741.4636,326,13274.5896
239,98.774,263,25977.562,41,4049.734
1893,44.3029,0,0.0,0,0.0
1305,111.513,16251,1812197.763,7122,794195.586
1673,34.2884,111,3806.0124000000005,26,891.4984000000001
492,45.4197,8230,373804.131,1805,81982.5585
2249,320.874,21926,7035483.324000001,7811,2506346.8140000002
264,17.7912,1410,25085.592,490,8717.688
2123,26.1783,65,1701.5895,5,130.8915
116,27.1629,307,8339.0103,57,1548.2853
1159,18.1708,127,2307.6916,319,5796.4852
1270,263.009,8275,2176399.475,10897,2866009.0730000003
2165,28.2044,25,705.11,0,0.0
1152,171.372,816,139839.55200000003,320,54839.04000000001
792,79.0312,2197,173631.5464,9,711.2808
1979,51.6033,1947,100471.62509999999,316,16306.6428
2185,56.1164,5,280.582,27,1515.1428

weighted_avg,NA,NA,19109329.42026,NA,7658960.2673499985
weighted_%,NA,NA,0.713879356629384,NA,0.286120643370616
weighted_total,26768289.68761
