Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33295,1496763.407,10619,477372.8974
812,334.908,347967,116536932.036,46349,15522650.892
1358,97.2156,74013,7195218.2028,31815,3092914.314
1778,40.8635,291,11891.2785,6,245.181
828,45.4532,288,13090.5216,400,18181.280000000002
2213,8.07837,0,0.0,25,201.95925
1726,65.5195,2804,183716.67799999999,60,3931.1699999999996
2054,37.2896,1397,52093.5712,500,18644.8
1903,16.1097,230,3705.231,30,483.291
509,133.977,63156,8461451.412,4048,542338.8960000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,40518,1637834.8032000002,5215,210802.81600000002
2151,40.7196,53,2158.1388,153,6230.0988
239,98.774,2968,293161.232,412,40694.888
1893,44.3029,522,23126.1138,36,1594.9044000000001
1305,111.513,92180,10279268.34,40072,4468548.936
1673,34.2884,6031,206793.34040000002,154,5280.413600000001
492,45.4197,45578,2070139.0866,8186,371805.6642
2249,320.874,119019,38190102.606000006,59467,19081414.158
264,17.7912,35567,632779.6104,2993,53249.0616
2123,26.1783,404,10576.0332,201,5261.8383
116,27.1629,4287,116447.3523,573,15564.3417
1159,18.1708,97,1762.5676,224,4070.2592
1270,263.009,30298,7968646.682,21781,5728599.029
2165,28.2044,4286,120884.0584,306,8630.5464
1152,171.372,1683,288419.076,664,113791.00800000002
792,79.0312,180980,14303066.576,3494,276135.01279999997
1979,51.6033,3275,169000.8075,562,29001.0546
2185,56.1164,0,0.0,10,561.164

weighted_avg,NA,NA,210269028.76230004,NA,50098199.875250004
weighted_%,NA,NA,0.8075863842872856,NA,0.1924136157127144
weighted_total,260367228.63755006
