Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,2617,117646.1882,1142,51338.1532
812,334.908,8494,2844708.552,332,111189.456
1358,97.2156,13020,1265747.112,2243,218054.59079999998
1778,40.8635,95,3882.0325000000003,12,490.362
828,45.4532,354,16090.4328,245,11136.034000000001
2213,8.07837,19,153.48902999999999,43,347.36991
1726,65.5195,29,1900.0654999999997,3,196.55849999999998
2054,37.2896,265,9881.744,163,6078.2048
1903,16.1097,41,660.4977,11,177.2067
509,133.977,5931,794617.587,443,59351.811
1751,10.0901,0,0.0,0,0.0
62,40.4224,506,20453.7344,168,6790.9632
2151,40.7196,152,6189.3792,196,7981.0416
239,98.774,65,6420.31,12,1185.288
1893,44.3029,13,575.9377000000001,4,177.2116
1305,111.513,17596,1962182.7480000001,3156,351935.028
1673,34.2884,54,1851.5736000000002,22,754.3448000000001
492,45.4197,5348,242904.5556,668,30340.3596
2249,320.874,21022,6745413.228,3447,1106052.678
264,17.7912,960,17079.552,399,7098.6888
2123,26.1783,90,2356.047,40,1047.132
116,27.1629,84,2281.6836,50,1358.145
1159,18.1708,153,2780.1324,226,4106.6008
1270,263.009,9656,2539614.904,7527,1979668.743
2165,28.2044,5,141.022,3,84.6132
1152,171.372,424,72661.728,117,20050.524
792,79.0312,677,53504.1224,7,553.2184
1979,51.6033,1171,60427.4643,143,7379.2719
2185,56.1164,9,505.0476,26,1459.0264

weighted_avg,NA,NA,16792630.870529998,NA,3986382.62521
weighted_%,NA,NA,0.8081534223928741,NA,0.19184657760712592
weighted_total,20779013.495739996
