Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,43914,1974136.3044,56755,2551398.323
812,334.908,394316,132059582.928,101945,34142196.06
1358,97.2156,105828,10288132.5168,110178,10711020.376799999
1778,40.8635,297,12136.4595,305,12463.3675
828,45.4532,688,31271.801600000003,2787,126678.0684
2213,8.07837,25,201.95925,422,3409.0721399999998
1726,65.5195,2864,187647.84799999997,751,49205.144499999995
2054,37.2896,1897,70738.3712,3646,135957.8816
1903,16.1097,260,4188.522,157,2529.2229
509,133.977,67204,9003790.308,18961,2540337.897
1751,10.0901,0,0.0,0,0.0
62,40.4224,45733,1848637.6192,22544,911282.5856000001
2151,40.7196,206,8388.2376,3055,124398.378
239,98.774,3380,333856.12,2454,242391.396
1893,44.3029,558,24721.018200000002,260,11518.754
1305,111.513,132252,14747817.276,136243,15192865.659
1673,34.2884,6185,212073.75400000002,1413,48449.50920000001
492,45.4197,53764,2441944.7508,34765,1579015.8705
2249,320.874,178486,57271516.764000006,160700,51564451.800000004
264,17.7912,38560,686028.672,22864,406777.9968
2123,26.1783,605,15837.8715,969,25366.7727
116,27.1629,4860,132011.694,2779,75485.6991
1159,18.1708,321,5832.8268,3240,58873.392
1270,263.009,52079,13697245.711000001,175807,46238823.263000004
2165,28.2044,4592,129514.6048,3166,89295.1304
1152,171.372,2347,402210.08400000003,3896,667665.312
792,79.0312,184474,14579201.5888,20390,1611446.168
1979,51.6033,3837,198001.8621,1416,73070.27279999999
2185,56.1164,10,561.164,182,10213.184799999999

weighted_avg,NA,NA,260367228.63755,NA,169206586.55774003
weighted_%,NA,NA,0.6061059110858131,NA,0.3938940889141868
weighted_total,429573815.19529
